University Rating,University Name,Overall Score
1,University of Colorado Denver Denver CO,58.0
1,"Embry-Riddle Aeronautical University, Prescott Prescott AZ",58.0
1,Mount Saint Mary’s University Los Angeles CA,58.0
1,Westminster College (Pennsylvania) New Wilmington PA,58.0
1,Widener University Chester PA,57.9
1,The University of Tennessee-Knoxville Knoxville TN,57.8
1,Cornell College Mount Vernon IA,57.9
1,George Mason University Fairfax VA,57.1
1,Adelphi University Garden City NY,57.6
1,Hanover College Hanover IN,57.3
1,University of South Carolina-Columbia Columbia SC,57.1
1,Suffolk University Boston MA,57.6
1,Washington State University Pullman WA,57.3
1,College for Creative Studies Detroit MI,56.5
1,California Institute of the Arts Valencia CA,57.4
1,Rutgers University-Camden Camden NJ,57.4
1,Valparaiso University Valparaiso IN,56.3
1,Saint Mary’s College of California Moraga CA,56.2
1,Tuskegee University Tuskegee AL,56.2
1,Alma College Alma MI,56.1
1,St Mary’s College of Maryland St Mary’s City MD,54.1
1,Pace University-New York New York NY,55.8
1,DePaul University Chicago IL,51.7
1,Pratt Institute Brooklyn NY,54.6
1,University of Vermont Burlington VT,55.6
1,Auburn University Auburn AL,54.1
1,Houghton College Houghton NY,53.9
1,John Carroll University University Heights OH,53.5
1,Luther College Decorah IA,54.5
1,Goucher College Baltimore MD,53.3
1,Sarah Lawrence College Bronxville NY,51.3
1,Westmont College Santa Barbara CA,52.3
1,Xavier University of Louisiana New Orleans LA,53.3
2,University of Connecticut,67.0
2,Loyola Marymount University,67.0
2,University of Minnesota Twin Cities,67.0
2,Rochester Institute of Technology,64.9
2,Indiana University Bloomington,64.8
2,University at Buffalo,64.6
2,Arizona State University Tempe,64.5
2,Furman University,64.5
2,Santa Clara University,64.5
2,Creighton University,64.4
2,Stony Brook University,64.4
2,Clarkson University,64.3
2,University of Delaware,64.2
2,Reed College,64.2
2,ArtCenter College of Design,64.1
2,Skidmore College,64.1
2,Rutgers University-Newark,64.0
2,Yeshiva University,64.0
2,North Carolina State University at Raleigh,63.9
2,Allegheny College,63.8
2,Colorado School of Mines,63.8
2,Gustavus Adolphus College,63.8
2,Centre College,63.7
2,Ohio Northern University,63.7
2,Virginia Polytechnic Institute and State University,63.6
2,Drake University,63.5
2,Michigan Technological University,63.5
2,Rhodes College,63.5
2,Berea College,63.4
2,"University of California, Irvine",63.4
2,Butler University,63.3
2,St Olaf College,63.3
2,Bradley University,63.0
2,Hobart and William Smith Colleges,63.0
2,Baylor University,61.3
2,University of Colorado Boulder,61.3
2,Muhlenberg College,61.3
2,St Lawrence University,61.3
2,SUNY Binghamton University,61.2
2,Virginia Military Institute,61.2
2,Bryant University,61.1
2,"Embry-Riddle Aeronautical University, Daytona Beach",60.8
2,Ithaca College,60.6
2,Molloy College,60.6
2,Texas Christian University,60.5
2,Fordham University,60.3
2,Mercer University,60.3
2,Siena College,60.3
2,Ohio Wesleyan University,60.2
3,Otis College of Art and Design,73.9
3,Knox College,73.8
3,University of San Francisco,72.8
3,Earlham College,72.7
3,Barnard College,72.4
3,Hamilton College,72.4
3,University of Washington-Seattle,72.3
3,Oberlin College,72.3
3,Boston College,71.8
3,Michigan State University,71.8
3,Trinity College,71.7
3,Colby College,71.3
3,George Washington University,71.2
3,Texas A&M University-College Station,70.0
3,Drexel University,69.8
3,Denison University,69.5
3,Occidental College,69.4
3,University of Richmond,69.4
3,Southern Methodist University,69.2
3,Howard University,69.1
3,College of the Holy Cross,69.0
3,Brandeis University,68.9
3,University of Denver,68.7
3,DePauw University,68.6
3,Rose-Hulman Institute of Technology,68.5
3,William & Mary,68.4
3,Kenyon College,68.3
3,Bentley University,68.2
3,Connecticut College,68.1
3,Pennsylvania State University,68.1
3,Scripps College,68.1
4,Case Western Reserve University,80.8
4,New York University,80.6
4,Swarthmore College,79.8
4,Smith College,79.0
4,Middlebury College,78.5
4,"University of California, Berkeley",78.2
4,Carleton College,78.2
4,Haverford College,78.2
4,University of Miami,78.2
4,Purdue University West Lafayette,78.2
4,Boston University,77.6
4,"University of California, Davis",77.5
4,Bowdoin College,77.4
4,Wesleyan University,77.3
4,Claremont McKenna College,76.2
4,Bryn Mawr College,75.7
4,University of Illinois at Urbana-Champaign,75.6
4,"University of California, San Diego",75.4
4,Lehigh University,74.9
4,Georgia Institute of Technology,74.1
4,University of Texas at Austin,74.1
5,Stanford University,92.0
5,Massachusetts Institute of Technology,91.3
5,Columbia University,90.9
5,University of Pennsylvania,90.8
5,Yale University,90.4
5,Harvard University,90.3
5,Duke University,90.0
5,Princeton University,89.6
5,Cornell University,89.1
5,California Institute of Technology,89.0
5,Johns Hopkins University,88.7
5,Washington University in St Louis,88.7
5,University of Chicago,88.4
5,Northwestern University,88.4
5,University of Southern California,88.3
5,Dartmouth College,88.1
5,Emory University,87.9
5,Rice University,87.2
5,Carnegie Mellon University,87.1
5,Brown University,87.0
5,Vanderbilt University,86.7
5,Williams College,84.5
5,Amherst College,84.1
5,University of Michigan-Ann Arbor,83.8
5,University of Notre Dame,83.6
5,"University of California, Los Angeles",82.9
5,Tufts University,82.7
5,Pomona College,82.5
5,Georgetown University,81.3
5,University of North Carolina at Chapel Hill,81.1
5,Wellesley College,81.1
